name,url,last_day,last_month,last_week,updated_at
docker,https://pypi.org/simple/docker/,4652672,91253461,25147158,1769635682.2818508
tornado,https://pypi.org/simple/tornado/,3607334,91194102,22827389,1769750783.3959253
py4j,https://pypi.org/simple/py4j/,3585174,90635297,21485542,1769714602.535139
xmltodict,https://pypi.org/simple/xmltodict/,3788437,90562036,22404338,1769761469.6965182
pyzmq,https://pypi.org/simple/pyzmq/,2704896,90226886,17513760,1769724824.6239228
traitlets,https://pypi.org/simple/traitlets/,3526250,89478942,22091450,1769751252.0748055
google-cloud-secret-manager,https://pypi.org/simple/google-cloud-secret-manager/,2401732,88407460,14833239,1769649810.775756
importlib-resources,https://pypi.org/simple/importlib-resources/,3516662,87908924,21543661,1769655994.6483674
editables,https://pypi.org/simple/editables/,3934507,87693617,22623286,1769638451.7045307
toml,https://pypi.org/simple/toml/,3632827,87164594,21211762,1769750192.7052302
mpmath,https://pypi.org/simple/mpmath/,3691100,86961656,21667212,1769692498.9250023
jedi,https://pypi.org/simple/jedi/,3446897,86803248,22465619,1769658381.627139
aliyun-python-sdk-core,https://pypi.org/simple/aliyun-python-sdk-core/,1272851,86254505,8574616,1769607754.8222623
parso,https://pypi.org/simple/parso/,3428907,86070959,21842696,1769707775.546739
opensearch-py,https://pypi.org/simple/opensearch-py/,1753328,85736701,11282753,1769705129.4367802
typedload,https://pypi.org/simple/typedload/,4119080,85678896,19296962,1769753056.2152522
jsonpointer,https://pypi.org/simple/jsonpointer/,3882806,85555399,22143169,1769680466.0670085
babel,https://pypi.org/simple/babel/,4003862,84254264,21921680,1769613143.307205
black,https://pypi.org/simple/black/,3637248,84029868,19954719,1769615486.6349742
aiofiles,https://pypi.org/simple/aiofiles/,3770313,84025351,20877773,1769606502.2980795
hf-xet,https://pypi.org/simple/hf-xet/,3513184,83828984,20972142,1769652849.0031474
mypy,https://pypi.org/simple/mypy/,3935010,83793384,21992779,1769694191.7470403
nest-asyncio,https://pypi.org/simple/nest-asyncio/,3286536,82905323,21110270,1769695723.0641313
matplotlib-inline,https://pypi.org/simple/matplotlib-inline/,3295803,82765648,21026972,1769687348.6445966
executing,https://pypi.org/simple/executing/,3586429,81482883,21100185,1769641172.4820528
opentelemetry-exporter-prometheus,https://pypi.org/simple/opentelemetry-exporter-prometheus/,1860082,81443213,11257771,1769769213.9992533
watchfiles,https://pypi.org/simple/watchfiles/,3733083,81164400,20635972,1769757940.384458
uv,https://pypi.org/simple/uv/,3622527,80879897,20460997,1769755188.7519329
email-validator,https://pypi.org/simple/email-validator/,3242457,80358957,18005547,1769639124.8109276
asttokens,https://pypi.org/simple/asttokens/,3509857,79602909,20642010,1769610932.653152
opentelemetry-util-http,https://pypi.org/simple/opentelemetry-util-http/,3578429,79274736,21840156,1769705278.7442248
ply,https://pypi.org/simple/ply/,3309894,78564024,19917150,1769711110.4427273
google-cloud-batch,https://pypi.org/simple/google-cloud-batch/,970622,78194479,5697435,1769649783.4097614
durationpy,https://pypi.org/simple/durationpy/,2428788,77360404,15956494,1769637321.7171254
stack-data,https://pypi.org/simple/stack-data/,3014815,76862507,18996950,1769742227.8675225
requests-aws4auth,https://pypi.org/simple/requests-aws4auth/,1553406,76671638,10453355,1769728934.6674986
grpc-google-iam-v1,https://pypi.org/simple/grpc-google-iam-v1/,3071115,76568265,18628873,1769650979.257517
opentelemetry-instrumentation-requests,https://pypi.org/simple/opentelemetry-instrumentation-requests/,3703318,76384350,22929762,1769705244.713869
tiktoken,https://pypi.org/simple/tiktoken/,3064579,76272068,18567874,1769749170.4844894
awswrangler,https://pypi.org/simple/awswrangler/,2782362,76036904,17957520,1769612720.0524874
grpcio-health-checking,https://pypi.org/simple/grpcio-health-checking/,1524174,76017930,8118126,1769650988.4396746
pure-eval,https://pypi.org/simple/pure-eval/,3044173,75850861,19246378,1769714285.2282112
sentry-sdk,https://pypi.org/simple/sentry-sdk/,3332910,75753858,19567823,1769735282.9395316
uvloop,https://pypi.org/simple/uvloop/,3497399,75619039,19711940,1769755201.6537845
webencodings,https://pypi.org/simple/webencodings/,3094668,75179095,18709024,1769758439.7528765
langchain-core,https://pypi.org/simple/langchain-core/,3180679,74676388,19618586,1769681601.5342727
google-analytics-admin,https://pypi.org/simple/google-analytics-admin/,871631,74205643,5047942,1769649746.2808826
gunicorn,https://pypi.org/simple/gunicorn/,3425665,73954292,19770944,1769651305.301452
python-json-logger,https://pypi.org/simple/python-json-logger/,3446207,73715312,19531571,1769723100.10258
asgiref,https://pypi.org/simple/asgiref/,3497203,73232415,18785162,1769610588.4770358
docstring-parser,https://pypi.org/simple/docstring-parser/,3402686,73065874,19014610,1769635826.6286285
gcsfs,https://pypi.org/simple/gcsfs/,2449770,73034358,16263195,1769647521.45446
dbt-core,https://pypi.org/simple/dbt-core/,2877110,72206306,18695417,1769629143.2645826
termcolor,https://pypi.org/simple/termcolor/,2862716,71919353,16791601,1769747243.9410708
pymongo,https://pypi.org/simple/pymongo/,2667368,71913958,15964896,1769719878.83723
typing-inspect,https://pypi.org/simple/typing-inspect/,3127362,68398141,17250478,1769753424.4879668
watchdog,https://pypi.org/simple/watchdog/,3073386,68377823,18190868,1769757937.1743896
pytest-xdist,https://pypi.org/simple/pytest-xdist/,2832909,67955816,15770225,1769722517.9568717
ruamel.yaml.clib,https://pypi.org/simple/ruamel-yaml-clib/,3058652,67567282,17776986,1769731439.0098786
google-cloud-aiplatform,https://pypi.org/simple/google-cloud-aiplatform/,2347115,67377309,16724876,1769649780.8240898
httptools,https://pypi.org/simple/httptools/,3059694,67342433,17400635,1769654033.833542
isort,https://pypi.org/simple/isort/,2959189,67340122,17100878,1769680315.6800256
aioitertools,https://pypi.org/simple/aioitertools/,2940356,67145464,17219053,1769606573.3432171
pkginfo,https://pypi.org/simple/pkginfo/,3047659,66679256,17358819,1769710505.9515433
torch,https://pypi.org/simple/torch/,2808218,66664516,16775399,1769750511.8445325
dbt-adapters,https://pypi.org/simple/dbt-adapters/,2807321,66604813,17021111,1769629130.745236
execnet,https://pypi.org/simple/execnet/,2988608,66287350,15898081,1769641170.9753366
msrest,https://pypi.org/simple/msrest/,2710373,65681265,16019421,1769692968.8061163
debugpy,https://pypi.org/simple/debugpy/,3046743,65292041,17574538,1769629514.9073896
jsonpatch,https://pypi.org/simple/jsonpatch/,2854907,65200967,16481290,1769659345.8778925
pandas-stubs,https://pypi.org/simple/pandas-stubs/,1176192,64768351,6047093,1769707284.1800363
jsonpath-ng,https://pypi.org/simple/jsonpath-ng/,2638548,64670407,16216749,1769659346.378053
databricks-sdk,https://pypi.org/simple/databricks-sdk/,2721256,64521250,16004801,1769628244.9910872
dbt-common,https://pypi.org/simple/dbt-common/,2619950,64487652,15968622,1769629142.7979271
mccabe,https://pypi.org/simple/mccabe/,2804810,64366512,16247741,1769687669.3549254
mcp,https://pypi.org/simple/mcp/,3164261,64195818,18166483,1769687729.0629804
pycryptodome,https://pypi.org/simple/pycryptodome/,2582254,64085642,16146556,1769717361.236923
types-awscrt,https://pypi.org/simple/types-awscrt/,2050170,63664698,18000394,1769753231.9500322
installer,https://pypi.org/simple/installer/,2964341,62847722,16812423,1769656562.9021022
h2,https://pypi.org/simple/h2/,2617141,62741664,15761410,1769651495.379947
hyperframe,https://pypi.org/simple/hyperframe/,2612577,62546022,15722087,1769654509.0810356
hpack,https://pypi.org/simple/hpack/,2608171,62470546,15693948,1769653703.49218
snowflake-sqlalchemy,https://pypi.org/simple/snowflake-sqlalchemy/,1894239,62391937,12050240,1769739241.5284376
types-s3transfer,https://pypi.org/simple/types-s3transfer/,1986136,62304542,17631139,1769753382.1881917
